inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id
CAPAC ASOCIADOS,https://e.nexoinmobiliario.pe/customers/capac-asociados/logo-115-20240821143505.png,TORRE CASTELO,En Planos,319355,Jr. Teodoro Cardenas 244,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3011-torre-castelo-cercado-de-lima-lima-lima-capac-asociados,https://e.nexoinmobiliario.pe/customers/capac-asociados/3011-torre-castelo/departamentos-cercado-de-lima-68f65e0486128_xm.jpg,Cercado de lima,150101
GRUPO TyC,https://e.nexoinmobiliario.pe/customers/grupo-tyc/logo-449-20241213103050.png,MINIMAL,En Construcción,191738,Av. Arequipa 1444,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3053-minimal-cercado-de-lima-lima-lima-grupo-tyc,https://e.nexoinmobiliario.pe/customers/grupo-tyc/3053-minimal/departamentos-cercado-de-lima-68ed3b526b230_xm.jpg,Cercado de lima,150101
PADOVA,https://e.nexoinmobiliario.pe/customers/padova/logo-25-20250912111119.jpg,HELIO SANTA BEATRIZ,En Construcción,244600,Enrique Villar 830 Cercado de Lima.,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3186-helio-santa-beatriz-cercado-de-lima-lima-lima-padova,https://e.nexoinmobiliario.pe/customers/inversiones-padova-sac/3186-helio-santa-beatriz/departamentos-cercado-de-lima-6827991002f55_xm.jpg,Cercado de lima,150101
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20250411103938.png,Tulipán,En Construcción,194832,"Av. Petit Thouars 980, Lima 15046",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3209-tulipan-cercado-de-lima-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/3209-tulipan/departamentos-cercado-de-lima-65cfd06ba0069_xm.jpg,Cercado de lima,150101
PROMSAL,https://e.nexoinmobiliario.pe/customers/promsal/logo-316-20250912121648.jpg,Cool Living,En Construcción,228114,Manuel del pino 265,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3298-cool-living-cercado-de-lima-lima-lima-promsal,https://e.nexoinmobiliario.pe/customers/promsal-s-a-c/3298-cool-living/departamentos-cercado-de-lima-661d5bc4f2855_xm.jpg,Cercado de lima,150101
BESCO,https://e.nexoinmobiliario.pe/customers/besco/logo-68-20250912112631.jpg,Centriqo Club Condomino Ecoamigable - Torre 7 y 8,En Construcción,297100, Av. Venezuela 2505,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3321-centriqo-club-condomino-ecoamigable-torre-7-y-8-cercado-de-lima-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/3321-centriqo-club-condomino-ecoamigable/departamentos-cercado-de-lima-68656da825035_xm.jpg,Cercado de lima,150101
MY HOME,https://e.nexoinmobiliario.pe/customers/my-home/logo-85-20250912112835.jpg,NOVO 3 - Santa Beatriz,En Construcción,219000,jirón José Gálvez 950 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3381-novo-3-santa-beatriz-cercado-de-lima-lima-lima-my-home,https://e.nexoinmobiliario.pe/customers/my-home/3381-novo-3-santa-beatriz/departamentos-cercado-de-lima-68fab0e2dde80_xm.jpg,Cercado de lima,150101
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/albamar-grupo-inmobiliario/logo-108-20250912113347.jpg,Albamar | Re+,En Construcción,185600,"Av. Oscar R. Benavides 1740, Cercado de lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3385-albamar-re-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/3385-albamar-re/departamentos-cercado-de-lima-6876c1be83dc6_xm.jpg,Cercado de lima,150101
GRUPO LAR,https://e.nexoinmobiliario.pe/customers/grupo-lar/logo-225-20250912141016.jpg,Qantua | Fase 2,En Planos,324456,jr lampa 1237,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3452-qantua-fase-2-cercado-de-lima-lima-lima-grupo-lar,https://e.nexoinmobiliario.pe/customers/grupo-lar/3452-qantua-fase-2/departamentos-cercado-de-lima-68af67b88823e_xm.jpg,Cercado de lima,150101
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario/logo-87-20250422120904.jpg,Cedro 33,En Construcción,204858,Av Colonial 2200,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3453-cedro-33-cercado-de-lima-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario/3453-cedro-33/departamentos-cercado-de-lima-68fa932ea5a8d_xm.jpg,Cercado de lima,150101
PISONAY INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/pisonay-inmobiliaria/logo-441-20250912123645.jpg,EVOLUTION,En Construcción,239500,Av. Mariano Cornejo 1604,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3466-evolution-cercado-de-lima-lima-lima-pisonay-inmobiliaria,https://e.nexoinmobiliario.pe/customers/pisonay-inmobiliaria/3466-evolution/departamentos-cercado-de-lima-68f97ae6d1754_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,CENTRIUM - SANTA BEATRIZ,En Construcción,282335,Av. Alejandro Tirado 653,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3491-centrium-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/3491-centrium-santa-beatriz/departamentos-cercado-de-lima-68f6a0ba8bc99_xm.jpg,Cercado de lima,150101
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/albamar-grupo-inmobiliario/logo-108-20250912113347.jpg,Albamar | Bea,En Construcción,247000,"C. Enrique Villar 372, Cercado de lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3684-albamar-bea-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/3684-albamar-bea/departamentos-cercado-de-lima-68965b21759f8_xm.jpg,Cercado de lima,150101
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20250411103938.png,Roble,En Planos,255211,Av. Venezuela 2305,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3693-roble-cercado-de-lima-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/3693-roble/departamentos-cercado-de-lima-68a64389b1f71_xm.jpg,Cercado de lima,150101
Tempus Inmobiliaria,https://e.nexoinmobiliario.pe/customers/tempus-inmobiliaria/logo-582-20250409154401.png,NOVA,En Planos,270500,Av Colonial 2078 - 2082,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3737-nova-cercado-de-lima-lima-lima-tempus-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tempus-inmobiliaria/3737-nova/departamentos-cercado-de-lima-692787dbc52b3_xm.jpg,Cercado de lima,150101
REYNA GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/reyna-grupo-inmobiliario/logo-376-20250912122737.jpg,BRAN,En Planos,376950," Calle Santa Susana, Cercado de Lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3739-bran-cercado-de-lima-lima-lima-reyna-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/mcr-inmobiliaria-constructora-sac/3739-bran/departamentos-cercado-de-lima-68b9b5c154076_xm.jpg,Cercado de lima,150101
BESCO,https://e.nexoinmobiliario.pe/customers/besco/logo-68-20250912112631.jpg,Alameda Central Condominio - Torre 9,En Construcción,257000,Av. Colonial 1194 - (Ex Av. Mariscal Oscar R. Benavides),https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3827-alameda-central-condominio-torre-9-cercado-de-lima-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/3827-alameda-central-condominio-torre-9/departamentos-cercado-de-lima-685b19899280f_xm.jpg,Cercado de lima,150101
GRUPO LAR,https://e.nexoinmobiliario.pe/customers/grupo-lar/logo-225-20250912141016.jpg,QANTUA | FASE 3,En Planos,348521,jr lampa 1237,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3841-qantua-fase-3-cercado-de-lima-lima-lima-grupo-lar,https://e.nexoinmobiliario.pe/customers/grupo-lar/3841-qantua-fase-3/departamentos-cercado-de-lima-68af67f47a8ac_xm.jpg,Cercado de lima,150101
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Los Cerezos,En Planos,301900,"Av. Teodoro cárdenas 645, Cercado de Lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3849-los-cerezos-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/3849-los-cerezos/departamentos-cercado-de-lima-686ed0da5b8c1_xm.jpg,Cercado de lima,150101
BESCO,https://e.nexoinmobiliario.pe/customers/besco/logo-68-20250912112631.jpg,Centriqo Club Condomino Ecoamigable - Torre 6,En Construcción,278100, Av. Venezuela 2505,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3856-centriqo-club-condomino-ecoamigable-torre-6-cercado-de-lima-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/3856-centriqo-club-condomino-ecoamigable-torre-6/departamentos-cercado-de-lima-68656e21b7a97_xm.jpg,Cercado de lima,150101
TER INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/ter-inmobiliaria/logo-393-20231027061810.jpg,TEO618,En Planos,263000,Calle Teodoro Cardenas 618,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3861-teo618-cercado-de-lima-lima-lima-ter-inmobiliaria,https://e.nexoinmobiliario.pe/customers/ter-inmobiliaria/3861-teo618/departamentos-cercado-de-lima-68e3eb6279eaa_xm.jpg,Cercado de lima,150101
YOPLAC ASOCIADOS,https://e.nexoinmobiliario.pe/customers/yoplac-asociados/logo-521-20240917123843.jpg,Residencial Santa Susana,En Construcción,243555,Jirón Santa Susana 163 - 165,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3924-residencial-santa-susana-cercado-de-lima-lima-lima-yoplac-asociados,https://e.nexoinmobiliario.pe/customers/yoplac-asociados/3924-residencial-santa-susana/departamentos-cercado-de-lima-68eed1cb06d82_xm.jpg,Cercado de lima,150101
PROYEC INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/proyec-inmobiliaria/logo-246-20250707153506.png,EZENA 4,En Planos,266073,Calle Mariano Carranza 365,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3931-ezena-4-cercado-de-lima-lima-lima-proyec-inmobiliaria,https://e.nexoinmobiliario.pe/customers/proyec-inmobiliaria/3931-ezena-4/departamentos-cercado-de-lima-68cdba9666a6f_xm.jpg,Cercado de lima,150101
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/albamar-grupo-inmobiliario/logo-108-20250912113347.jpg,Albamar | Flex,En Planos,241500,Av. República de Venezuela 1821,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3953-albamar-flex-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/albamar-grupo-inmobiliario/3953-albamar-flex/departamentos-cercado-de-lima-68f79a4bb4f96_xm.jpg,Cercado de lima,150101
TM GESTION INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/tm-gestion-inmobiliaria/logo-172-20250912114327.png,Jardines de  Santa Beatriz tercera etapa,En Planos,269900,"Jr. Teodoro Cárdenas 723, Santa Beatriz",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3960-jardines-de-santa-beatriz-tercera-etapa-cercado-de-lima-lima-lima-tm-gestion-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tm-gestion-inmobiliaria/3960-jardines-de-santa-beatriz/departamentos-cercado-de-lima-68e5ceece67b3_xm.jpg,Cercado de lima,150101
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,ALTANOVA,En Planos,222000,Av. Venezuela 3370,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3988-altanova-cercado-de-lima-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/3988-altanova/departamentos-cercado-de-lima-692dc4e793d24_xm.jpg,Cercado de lima,150101
ILUMINA INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/ilumina-inmobiliaria/logo-595-20251024163459.png,BROADWAY RESIDENCIAL,En Construcción,310000,Av Brasil 475,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3996-broadway-residencial-cercado-de-lima-lima-lima-ilumina-inmobiliaria,https://e.nexoinmobiliario.pe/customers/ilumina-inmobiliaria/3996-broadway/departamentos-cercado-de-lima-68fbebf4bb599_xm.jpg,Cercado de lima,150101
EFICAXX GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/eficaxx-grupo-inmobiliario/logo-336-20250912121834.jpg,Residencial Salamanca de Monterrico 17,Entrega Inmediata,329000,Calle Los Olmos con Los Helechos ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3037-residencial-salamanca-de-monterrico-17-ate-lima-lima-eficaxx-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/eficaxx/3037-residencial-salamanca-de-monterrico-17/departamentos-ate-64d27589a7461_xm.jpg,Ate,150103
LIDER,https://e.nexoinmobiliario.pe/customers/lider/logo-46-20250912111734.jpg,Kampu,En Planos,270700,"Av. NN1 cruce con av. Daniel Alcides Carrión, Santa Clara, Ate",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3290-kampu-ate-lima-lima-lider,https://e.nexoinmobiliario.pe/customers/wr-s-a/3290-proyecto-kampu-5ta-etapa/departamentos-ate-65e9f1829a2ad_xm.jpg,Ate,150103
EFICAXX GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/eficaxx-grupo-inmobiliario/logo-336-20250912121834.jpg,Residencial Salamanca de Monterrico 18,Entrega Inmediata,358000,Calle Las Avellanas 185,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3351-residencial-salamanca-de-monterrico-18-ate-lima-lima-eficaxx-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/eficaxx/3351-residencial-salamanca-de-monterrico-18/departamentos-ate-664b6338a2af8_xm.jpg,Ate,150103
EFICAXX GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/eficaxx-grupo-inmobiliario/logo-336-20250912121834.jpg,Residencial Salamanca de Monterrico 19,En Construcción,293700,Calle Las Tunas 456 Ate,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3577-residencial-salamanca-de-monterrico-19-ate-lima-lima-eficaxx-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/eficaxx/3577-residencial-salamanca-de-monterrico-19/departamentos-ate-673d1b4b64c9d_xm.jpg,Ate,150103
IN URBAN,https://e.nexoinmobiliario.pe/customers/in-urban/logo-410-20240812180039.png,LOS ALGARROBOS DE SALAMANCA,En Planos,260400,CALLE LOS ALGARROBOS N° 241,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3751-los-algarrobos-de-salamanca-ate-lima-lima-in-urban,https://e.nexoinmobiliario.pe/customers/in-urban/3751-los-algarrobos-de-salamanca/departamentos-ate-686d3ff15207e_xm.jpg,Ate,150103
GRUPO T&C,https://e.nexoinmobiliario.pe/customers/grupo-t-c/logo-63-20251201094022.png,ASPIRIA,En Construcción,245488,"Av. El Sol Este 530, Barraco",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1631-aspiria-barranco-lima-lima-grupo-t-c,https://e.nexoinmobiliario.pe/customers/grupo-t-c/1631-aspiria/departamentos-barranco-67a67a5309e35_xm.jpg,Barranco,150104
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,PATRIA,Entrega Inmediata,509600,CARLOS ARRIETA 380,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2430-patria-barranco-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2430-patria/departamentos-barranco-692dc2d4ee4c4_xm.jpg,Barranco,150104
CALICANTO,https://e.nexoinmobiliario.pe/customers/calicanto/logo-387-20231027061809.jpg,Horne 137,En Planos,358971,Calle Enrique del Horne 137,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3360-horne-137-barranco-lima-lima-calicanto,https://e.nexoinmobiliario.pe/customers/calicanto/3360-horne-137/departamentos-barranco-665502a7216ee_xm.jpg,Barranco,150104
FRANCA INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/franca-inmobiliaria/logo-565-20251003153551.jpg,Preston,En Planos,315789,Av. San Martin 618 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3530-preston-barranco-lima-lima-franca-inmobiliaria,https://e.nexoinmobiliario.pe/customers/franca-inmobiliaria/3530-preston/departamentos-barranco-68efd66d8356b_xm.jpg,Barranco,150104
